word,count,journal,in_that_journal
"Medical Records Department, Hospital",4,Journal of AHIMA / American Health Information Management Association,4
Gastroscopes,4,Canadian journal of gastroenterology = Journal canadien de gastroenterologie,2
Nisin,4,Journal of food protection,1
Estuaries,4,Chemosphere,2
Penicillin V,4,The Medical journal of Australia,1
Aloe,4,"The journals of gerontology. Series A, Biological sciences and medical sciences",1
Seed Storage Proteins,4,Plant molecular biology,1
Leukotriene A4,4,Journal of the American Society for Mass Spectrometry,1
Paragonimus,4,The Korean journal of parasitology,2
Embryo Research,4,Nihon Geka Gakkai zasshi,1
Gammaretrovirus,4,Journal of virology,2
Polyisoprenyl Phosphate Monosaccharides,4,Proceedings of the National Academy of Sciences of the United States of America,2
New Brunswick,4,The Journal of parasitology,1
"Psychology, Industrial",4,Harvard business review,1
"Carcinoma, Islet Cell",4,Journal of internal medicine,1
Thiouridine,4,Nucleic acids research,1
Lamin Type B,4,"Development (Cambridge, England)",1
Valine-tRNA Ligase,4,Biochemistry,2
Projective Techniques,4,The Journal of nervous and mental disease,1
Visceral Afferents,4,The Journal of neuroscience : the official journal of the Society for Neuroscience,2
Caspase 12,4,"Journal of immunology (Baltimore, Md. : 1950)",1
Nonheme Iron Proteins,4,Biochemistry,2
Gingival Recession,4,Journal (Indiana Dental Association),1
Resistance Training,4,Journal of sport rehabilitation,1
Chondroblastoma,4,Clinical orthopaedics and related research,1
Amylopectin,4,Biopolymers,1
Spirochaetales,4,International microbiology : the official journal of the Spanish Society for Microbiology,1
Galactosylceramidase,4,Nature neuroscience,1
Phenylpropanolamine,4,Clinical pharmacology and therapeutics,1
Complex Regional Pain Syndromes,4,AANA journal,1
Micrococcaceae,4,Applied and environmental microbiology,1
"Arteritis Virus, Equine",4,Journal of clinical microbiology,2
Oligohymenophorea,4,European journal of protistology,2
Skating,4,Annals of emergency medicine,1
Forearm Injuries,4,Annals of emergency medicine,1
Spheniscidae,4,Journal of zoo and wildlife medicine : official publication of the American Association of Zoo Veterinarians,2
Oman,4,Perceptual and motor skills,1
Trigeminal Nerve Injuries,4,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,2
Ileus,4,Diseases of the colon and rectum,1
"Encephalitis, St. Louis",4,Journal of wildlife diseases,1
Living Wills,4,Deutsche medizinische Wochenschrift (1946),1
"Receptors, Death Domain",4,The Journal of urology,1
"Toxoplasmosis, Cerebral",4,Journal of acquired immune deficiency syndromes,1
Orchiopexy,4,European review for medical and pharmacological sciences,1
Interleukin Receptor Common gamma Subunit,4,Blood,2
Farnesol,4,The Journal of biological chemistry,2
"Dentistry, Operative",4,Oral health & preventive dentistry,2
Tumor Necrosis Factor Ligand Superfamily Member 13,4,The Journal of clinical investigation,1
Pulse Wave Analysis,4,Klinicheskaia meditsina,1
Neisseriaceae Infections,4,The Journal of antimicrobial chemotherapy,2
Reinforcement Schedule,4,"Science (New York, N.Y.)",1
Fetal Weight,4,Gastroenterology,1
Northwestern United States,4,American journal of public health,2
Eukaryotic Initiation Factor-2B,4,Annals of human genetics,1
"Gene Products, vif",4,The Journal of general virology,2
Interior Design and Furnishings,4,Healthcare benchmarks and quality improvement,1
Respiratory-Gated Imaging Techniques,4,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",1
Knowledge Bases,4,BMC bioinformatics,2
Labyrinthitis,4,Clinical and experimental immunology,1
Transition Elements,4,Organic letters,1
"Heart Bypass, Right",4,The Annals of thoracic surgery,1
Group Purchasing,4,British journal of community nursing,1
Nephrology,4,American journal of kidney diseases : the official journal of the National Kidney Foundation,2
Thyroglossal Cyst,4,Surgery,1
Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,4,Arthritis and rheumatism,2
Virus Inactivation,4,Antiviral research,1
Information Centers,4,Journal of healthcare information management : JHIM,3
GTP-Binding Protein Regulators,4,Biochemistry,2
Rhodobacteraceae,4,International journal of systematic and evolutionary microbiology,2
Maple Syrup Urine Disease,4,Journal of neurochemistry,1
Nicorandil,4,Life sciences,1
"Anemia, Diamond-Blackfan",4,Journal of pediatric hematology/oncology,2
Saccule and Utricle,4,The Laryngoscope,1
Pericardiectomy,4,The Annals of thoracic surgery,2
Uroporphyrinogen Decarboxylase,4,Journal of chromatography,1
Nitrofurazone,4,Journal of bacteriology,1
Alanine-tRNA Ligase,4,Biochemistry,2
Pyrococcus abyssi,4,Journal of molecular biology,1
Ribosemonophosphates,4,Journal of medicinal chemistry,1
Salivary Gland Diseases,4,Infection and immunity,1
Bacterial Secretion Systems,4,Journal of bacteriology,1
Isotonic Contraction,4,British journal of haematology,1
Gastric Dilatation,4,Australian veterinary journal,1
Fecal Impaction,4,Southern medical journal,2
Ganglionic Stimulants,4,Nebraska Symposium on Motivation. Nebraska Symposium on Motivation,1
Cross-Priming,4,Nature immunology,2
Veterans Disability Claims,4,AJR. American journal of roentgenology,1
Deinococcus,4,International journal of systematic and evolutionary microbiology,1
Radioactivity,4,Radiation research,1
Ammonium Compounds,4,Environmental science & technology,1
L-Lactate Dehydrogenase (Cytochrome),4,The Journal of cell biology,2
Allium,4,Molecular phylogenetics and evolution,2
"Root Nodules, Plant",4,International journal of systematic and evolutionary microbiology,1
Abducens Nerve Diseases,4,Investigative ophthalmology & visual science,1
"Anemia, Neonatal",4,Journal of pediatric hematology/oncology,1
"Goiter, Substernal",4,Annali italiani di chirurgia,1
Rorschach Test,4,"Journal of neurology, neurosurgery, and psychiatry",1
Clusiaceae,4,Journal of natural products,2
Enzyme Replacement Therapy,4,The Journal of clinical endocrinology and metabolism,1
Mushroom Bodies,4,The Journal of neuroscience : the official journal of the Society for Neuroscience,1
Gonadal Hormones,4,Reproductive biology and endocrinology : RB&E,1
"Receptor-Like Protein Tyrosine Phosphatases, Class 2",4,Hormone research,1
Sulfate Adenylyltransferase,4,Archives of biochemistry and biophysics,1
French Guiana,4,Journal of clinical microbiology,1
Protein Renaturation,4,Biochemistry,2
Proteus vulgaris,4,The Journal of international medical research,1
Esocidae,4,BMC genomics,1
Simian T-lymphotropic virus 1,4,AIDS research and human retroviruses,2
"Tarsus, Animal",4,Journal of microscopy,1
Sucrase-Isomaltase Complex,4,"Clinical science (London, England : 1979)",1
Phosphoadenosine Phosphosulfate,4,The Journal of biological chemistry,1
Animal Use Alternatives,4,Alternatives to laboratory animals : ATLA,4
Ankyrin Repeat,4,Biochimica et biophysica acta,1
Biopharmaceutics,4,Arzneimittel-Forschung,2
Basilar Membrane,4,The Journal of neuroscience : the official journal of the Society for Neuroscience,1
Physicochemical Processes,4,"Science (New York, N.Y.)",2
Clostridium botulinum type C,4,Journal of wildlife diseases,3
RNA-Binding Protein FUS,4,The EMBO journal,1
"Myoelectric Complex, Migrating",4,The American journal of gastroenterology,2
Tuftsin,4,Journal of medicinal chemistry,2
alpha-Cyclodextrins,4,Biochimica et biophysica acta,1
Ointment Bases,4,Canadian journal of surgery. Journal canadien de chirurgie,1
Dopaminergic Neurons,4,Nature neuroscience,1
Sendai virus,4,Immunity,1
Compact Disks,4,The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,1
Submandibular Gland Diseases,4,Clinical radiology,1
Health Transition,4,Annals of the Royal Australasian College of Dental Surgeons,1
Comprehensive Dental Care,4,Annals of the Royal Australasian College of Dental Surgeons,1
"Cystic Adenomatoid Malformation of Lung, Congenital",4,Kyobu geka. The Japanese journal of thoracic surgery,2
Medication Systems,4,Healthcare benchmarks and quality improvement,1
Codes of Ethics,4,The Medical journal of Australia,1
Myotonia,4,Journal of the Indian Medical Association,1
"RNA, Satellite",4,Nucleic acids research,2
"Insurance, Hospitalization",4,The New England journal of medicine,1
"Education, Distance",4,Journal of the American Academy of Audiology,1
Secretory Leukocyte Peptidase Inhibitor,4,Infection and immunity,1
Mineral Waters,4,Revue d'histoire de la pharmacie,1
Hand Joints,4,Annals of the rheumatic diseases,3
Foot Joints,4,Annals of the rheumatic diseases,2
Enoxacin,4,The Journal of antimicrobial chemotherapy,2
Ileocecal Valve,4,The Journal of surgical research,1
Norwalk virus,4,Applied and environmental microbiology,2
Diethylcarbamazine,4,The Journal of antimicrobial chemotherapy,1
Tymovirus,4,Virology,2
Palaemonidae,4,Diseases of aquatic organisms,1
Guinea-Bissau,4,Tropical medicine & international health : TM & IH,1
Acidithiobacillus,4,Applied and environmental microbiology,1
Ephrin-B1,4,Molecular and cellular biology,3
Moricizine,4,The American journal of cardiology,2
Cannabidiol,4,The Journal of pharmacology and experimental therapeutics,2
"Hematoma, Subdural, Chronic",4,"Journal of neurology, neurosurgery, and psychiatry",1
Pica,4,The American journal of clinical nutrition,1
Isocoumarins,4,Cancer chemotherapy and pharmacology,1
Sciatic Neuropathy,4,Experimental neurology,2
Semaphorin-3A,4,The Journal of neuroscience : the official journal of the Society for Neuroscience,1
Intermittent Positive-Pressure Breathing,4,Chest,1
"Medicine, African Traditional",4,Nigerian journal of medicine : journal of the National Association of Resident Doctors of Nigeria,1
Vocational Education,4,Child welfare,1
Failure to Thrive,4,Hormone research,1
PQQ Cofactor,4,Biochemical and biophysical research communications,1
Pierre Robin Syndrome,4,Anaesthesia,1
Arytenoid Cartilage,4,"The Annals of otology, rhinology, and laryngology",1
Oncogene Proteins v-raf,4,Oncogene,2
Poisons,4,Journal of analytical toxicology,2
Chenopodiaceae,4,"Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology",1
Mandatory Programs,4,American journal of public health,1
Cyclamates,4,Proceedings of the National Academy of Sciences of the United States of America,1
Hepatitis C Antigens,4,Blood,1
Oxyquinoline,4,Journal of vascular surgery,2
Schizophrenic Language,4,Psychiatry research,2
Disk Diffusion Antimicrobial Tests,4,Acta poloniae pharmaceutica,1
NAV1.1 Voltage-Gated Sodium Channel,4,Epilepsia,1
L-Serine Dehydratase,4,Journal of bacteriology,1
Bile Pigments,4,Proceedings of the National Academy of Sciences of the United States of America,1
Tacrolimus Binding Protein 1A,4,FEBS letters,2
Purinones,4,Biochemical pharmacology,1
Eukaryotic Initiation Factor-1,4,Nucleic acids research,1
Microbial Interactions,4,FEMS microbiology ecology,1
Bunyaviridae,4,The Journal of general virology,2
Bottle-Nosed Dolphin,4,Journal of zoo and wildlife medicine : official publication of the American Association of Zoo Veterinarians,3
Folklore,4,Epilepsia,2
Heparin Antagonists,4,The Journal of biological chemistry,1
Architecture as Topic,4,Cranio : the journal of craniomandibular practice,1
Osteopathic Medicine,4,The Journal of bone and joint surgery. British volume,1
Diestrus,4,The Journal of neuroscience : the official journal of the Society for Neuroscience,1
Chlamydia muridarum,4,"Journal of immunology (Baltimore, Md. : 1950)",2
"Genes, sry",4,Heredity,1
Low Density Lipoprotein Receptor-Related Protein-6,4,Cell,1
Ricinus,4,Journal of economic entomology,1
Astronomy,4,"Science (New York, N.Y.)",3
Phenylmercuric Acetate,4,Biochemistry,3
"Contraceptives, Postcoital",4,Fertility and sterility,1
Glyceraldehyde,4,Diabetes,1
"Cellulose, Oxidized",4,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,1
Neurofibromin 2,4,Molecular and cellular biology,2
Chloroplast Proteins,4,The Journal of biological chemistry,1
CCAAT-Enhancer-Binding Protein-delta,4,Circulation research,1
Off-Road Motor Vehicles,4,Annals of emergency medicine,1
Pituitary ACTH Hypersecretion,4,The Journal of clinical endocrinology and metabolism,2
Poly T,4,The Journal of biological chemistry,2
Integrin-Binding Sialoprotein,4,Journal of dental research,1
GABA-B Receptor Agonists,4,Endocrinology,1
Ovulation Detection,4,Obstetrics and gynecology,2
Dihydroxyacetone Phosphate,4,Biochemistry,1
Thiouracil,4,Chemico-biological interactions,1
"Leukemia, Basophilic, Acute",4,The Journal of biological chemistry,3
"Receptor, Serotonin, 5-HT1B",4,Endocrinology,1
Behavioral Sciences,4,Journal of dental education,1
"Receptors, Pituitary Hormone-Regulating Hormone",4,Proceedings of the National Academy of Sciences of the United States of America,2
Cetylpyridinium,4,FEBS letters,1
Phosphofructokinases,4,The Journal of cell biology,1
Appetitive Behavior,4,Journal of economic entomology,1
Arthrogryposis,4,Masui. The Japanese journal of anesthesiology,1
"Diabetes Insipidus, Neurogenic",4,The Journal of clinical endocrinology and metabolism,3
Laughter,4,Annals of neurology,1
Hypothalamic Neoplasms,4,Annals of neurology,1
Saguinus,4,Journal of virology,2
Streptomyces antibioticus,4,"Chemistry (Weinheim an der Bergstrasse, Germany)",1
"DNA Barcoding, Taxonomic",4,BMC bioinformatics,2
Neurosecretion,4,Journal of neurochemistry,1
Neuronal Calcium-Sensor Proteins,4,Journal of neurochemistry,1
Excitation Contraction Coupling,4,American journal of physiology. Heart and circulatory physiology,2
"Autonomic Fibers, Preganglionic",4,"The Annals of otology, rhinology, and laryngology",1
Elementary Particles,4,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2
Q-Sort,4,International journal of aging & human development,1
"Fractional Flow Reserve, Myocardial",4,Heart (British Cardiac Society),1
E-Box Elements,4,Oncogene,1
"Bronchitis, Chronic",4,Meditsina truda i promyshlennaia ekologiia,1
"Mice, Inbred SENCAR",4,Molecular and cellular biology,1
"Diagnostic Techniques, Urological",4,BJU international,1
Vulvitis,4,The Journal of reproductive medicine,2
Treponema denticola,4,Infection and immunity,2
Mechanics,4,Biotechnology and bioengineering,1
Integrin beta4,4,The Journal of biological chemistry,2
"NF-E2 Transcription Factor, p45 Subunit",4,Experimental hematology,2
3-Phosphoshikimate 1-Carboxyvinyltransferase,4,Biochemistry,2
Iophendylate,4,Urology,1
omega-Conotoxins,4,American journal of physiology. Gastrointestinal and liver physiology,1
"Cyclic Nucleotide Phosphodiesterases, Type 6",4,The Journal of neuroscience : the official journal of the Society for Neuroscience,1
Congo,4,BMC evolutionary biology,1
Aortic Arch Syndromes,4,Kyobu geka. The Japanese journal of thoracic surgery,1
Mercuribenzoates,4,The Journal of biological chemistry,2
Miller Fisher Syndrome,4,Muscle & nerve,1
Balanitis,4,The Veterinary record,1
Chondroitin ABC Lyase,4,Molecular vision,1
Caveolin 2,4,American journal of physiology. Cell physiology,1
Pulpitis,4,Journal of veterinary dentistry,1
"Hyperlipidemia, Familial Combined",4,"Arteriosclerosis, thrombosis, and vascular biology",2
Thrombopoiesis,4,Blood,2
Social Control Policies,4,Journal of health & social policy,2
Intrinsic Factor,4,American journal of clinical pathology,1
"Diet, Carbohydrate-Restricted",4,Hormone research,1
"Mesenteric Artery, Inferior",4,Journal of vascular surgery,2
Ascorbate Peroxidases,4,Environmental science and pollution research international,2
Methylprednisolone Hemisuccinate,4,Journal of neurochemistry,1
Phosphotransferases (Carboxyl Group Acceptor),4,Journal of bacteriology,2
Chromosome Fragile Sites,4,Cell,1
Iron Regulatory Protein 2,4,"RNA (New York, N.Y.)",1
Dengue Vaccines,4,DNA and cell biology,1
Lassa virus,4,Antiviral research,1
Transforming Growth Factor beta3,4,Journal of the California Dental Association,1
MSX1 Transcription Factor,4,Journal of the California Dental Association,1
"Anemia, Hemolytic, Congenital",4,British journal of haematology,1
Calciphylaxis,4,Acta clinica Belgica,1
Arabinofuranosyluracil,4,Journal of the National Cancer Institute,1
Arabinofuranosylcytosine Triphosphate,4,Journal of the National Cancer Institute,1
Theilovirus,4,Journal of virology,2
Heart Massage,4,"Aviation, space, and environmental medicine",1
Luminescent Agents,4,Biochemical and biophysical research communications,1
Substantia Innominata,4,Annals of neurology,2
Enzyme Assays,4,The Journal of biological chemistry,1
"Impotence, Vasculogenic",4,The Journal of urology,2
Protein S Deficiency,4,Clinical orthopaedics and related research,1
"Receptors, Pituitary Adenylate Cyclase-Activating Polypeptide",4,The Journal of veterinary medical science / the Japanese Society of Veterinary Science,1
Metastrongyloidea,4,Journal of wildlife diseases,1
Diphyllobothriasis,4,Journal of wildlife diseases,1
Firefly Luciferin,4,Cancer research,1
Fenoterol,4,The Journal of asthma : official journal of the Association for the Care of Asthma,1
Spleen Focus-Forming Viruses,4,Journal of virology,1
"Receptor, Melanocortin, Type 3",4,Diabetes,1
gp100 Melanoma Antigen,4,"Journal of immunology (Baltimore, Md. : 1950)",1
25-Hydroxyvitamin D 2,4,The Journal of clinical endocrinology and metabolism,3
Streptococcus equi,4,Journal of medical microbiology,1
Familial Hypophosphatemic Rickets,4,The Journal of biological chemistry,2
Cercocebus atys,4,Journal of virology,3
Cervical Plexus,4,Journal of neurosurgery. Spine,1
Globosides,4,Biochemistry,1
Granulocyte Precursor Cells,4,Blood,3
Protoporphyrinogen Oxidase,4,Molecular and biochemical parasitology,1
Chlorzoxazone,4,The Journal of pharmacology and experimental therapeutics,2
Arenaviridae,4,Annals of the New York Academy of Sciences,1
Isoprostanes,4,The Journal of biological chemistry,1
Pain Perception,4,Rural and remote health,1
Stomach Rupture,4,Annals of surgery,1
Oncogene Proteins v-fos,4,Journal of neurochemistry,1
alpha Catenin,4,Oncogene,2
"Receptor, Adenosine A2B",4,The Journal of clinical investigation,2
Carteolol,4,Clinical pharmacology and therapeutics,1
"Liposarcoma, Myxoid",4,Ultrastructural pathology,2
Pyrantel Pamoate,4,Journal of the American Veterinary Medical Association,2
"Hernia, Diaphragmatic, Traumatic",4,"Chirurgia (Bucharest, Romania : 1990)",2
Selenomethionine,4,Biochemical pharmacology,1
Clorgyline,4,Biochimica et biophysica acta,1
Rimantadine,4,Voprosy virusologii,2
Fasciola,4,Journal of the Egyptian Society of Parasitology,1
Heartwater Disease,4,The Onderstepoort journal of veterinary research,4
Diprenorphine,4,The Journal of pharmacology and experimental therapeutics,2
Pimozide,4,Endocrinology,2
Glycogen Storage Disease,4,Pediatric research,1
Vesiculovirus,4,Journal of virology,1
Gentisates,4,The Journal of experimental medicine,1
"Encephalomyelitis, Venezuelan Equine",4,Virology,1
Calcium Ionophores,4,Transfusion,1
"Conjunctivitis, Inclusion",4,Vestnik oftalmologii,1
Methylenetetrahydrofolate Dehydrogenase (NADP),4,The Journal of biological chemistry,1
"Dyslexia, Acquired",4,Revue neurologique,2
"Neoplasms, Fibrous Tissue",4,Journal of the American Academy of Dermatology,1
"Bonding, Human-Pet",4,"Public health reports (Washington, D.C. : 1974)",1
"RNA, Guide",4,Nucleic acids research,1
"Social Control, Informal",4,The Journal of genetic psychology,1
Gastric Mucins,4,Digestive diseases and sciences,1
Aborted Fetus,4,"Veterinary journal (London, England : 1997)",1
"Hydrocarbons, Iodinated",4,Organic letters,2
Polyhydramnios,4,Harefuah,1
"Wasting Disease, Chronic",4,"Science (New York, N.Y.)",1
"Medicine, Arabic",4,Medicinski arhiv,2
Taenia,4,Molecular and biochemical parasitology,1
Barium Compounds,4,Anesthesia and analgesia,1
Uridine Diphosphate Galactose,4,The Journal of cell biology,1
Foreign Professional Personnel,4,Nursing economic$,1
Hypophosphatemia,4,The Journal of clinical endocrinology and metabolism,1
Ureteroscopes,4,Journal of endourology / Endourological Society,3
Nursing Faculty Practice,4,Nursing education perspectives,1
Pulse Radiolysis,4,The Biochemical journal,2
"Kinesiology, Applied",4,Perceptual and motor skills,1
Birth Intervals,4,The American journal of clinical nutrition,1
Statistical Distributions,4,Perceptual and motor skills,1
Perinatology,4,Obstetrics and gynecology,1
"Genes, cdc",4,Cancer letters,1
Welding,4,Health physics,1
Minichromosome Maintenance 1 Protein,4,Nature genetics,1
Echinococcus granulosus,4,Journal of clinical microbiology,1
Etiocholanolone,4,The American journal of cardiology,1
Angiomyolipoma,4,Radiology,1
Boutonneuse Fever,4,Klinicheskaia laboratornaia diagnostika,1
Thiabendazole,4,Environmental and molecular mutagenesis,2
World War II,4,Research quarterly for exercise and sport,1
"Pattern Recognition, Physiological",4,Proceedings of the National Academy of Sciences of the United States of America,1
Fat Necrosis,4,Nederlands tijdschrift voor geneeskunde,1
Collagen Type VI,4,Muscle & nerve,1
"Ribonucleoprotein, U5 Small Nuclear",4,The EMBO journal,2
Fanconi Anemia Complementation Group C Protein,4,Cancer research,1
MSH Release-Inhibiting Hormone,4,Die Pharmazie,1
Perindopril,4,The American journal of physiology,1
"Contact Lenses, Extended-Wear",4,Investigative ophthalmology & visual science,2
"Suicide, Assisted",4,Caring : National Association for Home Care magazine,1
Cefotiam,4,The Japanese journal of antibiotics,3
Prodigiosin,4,Journal of bacteriology,3
Tropomodulin,4,The Journal of biological chemistry,1
POU Domain Factors,4,Molecular and cellular biology,1
Bromates,4,The Biochemical journal,1
"Oxidoreductases, O-Demethylating",4,Molecular & general genetics : MGG,2
"Intrauterine Devices, Medicated",4,Nederlands tijdschrift voor geneeskunde,1
Indigo Carmine,4,Chemosphere,1
Endolymph,4,The Laryngoscope,1
Dagestan,4,Genetika,2
Appalachian Region,4,American heart journal,1
Germ Layers,4,Cell,2
"Hydroxymethylglutaryl-CoA-Reductases, NADP-dependent",4,The Biochemical journal,2
"Contraception, Postcoital",4,Obstetrics and gynecology,2
Tars,4,Journal of analytical toxicology,1
"Genes, Immunoglobulin Heavy Chain",4,Leukemia research,1
Dysphonia,4,American journal of surgery,1
Felty Syndrome,4,American journal of hematology,1
Haemophilus influenzae type b,4,The American journal of tropical medicine and hygiene,1
Buruli Ulcer,4,The American journal of tropical medicine and hygiene,3
Hepatocyte Nuclear Factor 6,4,The Journal of biological chemistry,2
"Sympathectomy, Chemical",4,The American journal of physiology,1
Paraproteins,4,British journal of haematology,1
Myristates,4,Biochemistry,1
Calcium Pyrophosphate,4,Annals of the rheumatic diseases,1
Gingival Crevicular Fluid,4,Journal of dental research,1
Pleurodeles,4,The Journal of experimental zoology,1
Foramen Magnum,4,AJR. American journal of roentgenology,2
Pediococcus,4,Journal of food protection,2
Formate-Tetrahydrofolate Ligase,4,The Journal of biological chemistry,2
Alphaherpesvirinae,4,Journal of virology,2
Allelic Imbalance,4,Anticancer research,1
Cystinuria,4,American journal of human genetics,1
"Leukemia, Plasma Cell",4,British journal of haematology,1
Heptanoates,4,The Journal of biological chemistry,2
Ethylene Dichlorides,4,Journal of the National Cancer Institute,1
"Auditory Diseases, Central",4,Journal of the American Academy of Audiology,2
Embryology,4,"Science (New York, N.Y.)",1
Musculoskeletal System,4,The American journal of medicine,1
Cystathionine gamma-Lyase,4,The Journal of biological chemistry,2
Guanosine Diphosphate Mannose,4,Biochimica et biophysica acta,1
Roseolovirus Infections,4,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,1
Laboratory Proficiency Testing,4,Journal of analytical toxicology,1
Testosterone Congeners,4,The Journal of steroid biochemistry and molecular biology,1
"Carcinoma, Verrucous",4,The Journal of the Louisiana State Medical Society : official organ of the Louisiana State Medical Society,1
Nedocromil,4,Chest,2
"Receptors, Antigen",4,The Journal of biological chemistry,1
Ameloblasts,4,Journal of dental research,3
Floors and Floorcoverings,4,Equine veterinary journal,1
Peptidoglycan Glycosyltransferase,4,Journal of bacteriology,2
Lateral Ventricles,4,Experimental cell research,1
Data Compression,4,BMC bioinformatics,2
Pteroylpolyglutamic Acids,4,Cancer research,2
Phosphoribosylglycinamide Formyltransferase,4,Biochimica et biophysica acta,1
Protein O-Methyltransferase,4,Biochemistry,1
Heptanes,4,Journal of chromatography. A,2
Transendothelial and Transepithelial Migration,4,Infection and immunity,1
Pancreatic Extracts,4,Gut,1
Cypriniformes,4,Genetika,2
Bone Morphogenetic Protein 15,4,Biochemical and biophysical research communications,1
"Trigeminal Nucleus, Spinal",4,Brain : a journal of neurology,1
Researcher-Subject Relations,4,The Journal of nervous and mental disease,1
Meckel Diverticulum,4,American journal of surgery,1
Substantia Gelatinosa,4,Journal of neurosurgery,1
Penicillin Amidase,4,Biotechnology and bioengineering,2
New Caledonia,4,The American journal of tropical medicine and hygiene,1
Iron Regulatory Protein 1,4,Biochemical and biophysical research communications,1
Anal Gland Neoplasms,4,Acta gastro-enterologica Belgica,1
Lecithin Acyltransferase Deficiency,4,Biochemical and biophysical research communications,2
Streptococcus bovis,4,"Microbiology (Reading, England)",2
Heartburn,4,Journal of continuing education in nursing,1
Rickettsia Infections,4,"Zhurnal mikrobiologii, epidemiologii, i immunobiologii",1
Necator americanus,4,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,1
Mycobacterium phlei,4,FEMS microbiology letters,1
Palmitoyl-CoA Hydrolase,4,The Journal of biological chemistry,1
"Reflex, Stretch",4,Functional neurology,1
Sibling Relations,4,American journal of psychotherapy,1
Mars,4,"Science (New York, N.Y.)",2
Debrisoquin,4,Biochemical pharmacology,2
Claviceps,4,Journal of basic microbiology,1
Mass Chest X-Ray,4,Voprosy onkologii,2
Succinate-CoA Ligases,4,FEBS letters,2
Furunculosis,4,Deutsche medizinische Wochenschrift (1946),1
Pediculus,4,The Journal of parasitology,1
Paratyphoid Fever,4,"Zhurnal mikrobiologii, epidemiologii, i immunobiologii",2
Chemokine CCL17,4,Clinical and experimental immunology,1
Tryptophan-tRNA Ligase,4,Bioorganicheskaia khimiia,1
Self Stimulation,4,Nihon yakurigaku zasshi. Folia pharmacologica Japonica,1
Osteochondritis Dissecans,4,Clinical orthopaedics and related research,2
Sulfamethazine,4,Journal of the American Veterinary Medical Association,1
Haemosporida,4,Journal of wildlife diseases,2
Anencephaly,4,The New England journal of medicine,1
Neuroendoscopy,4,Otolaryngologia polska. The Polish otolaryngology,2
Nursing Services,4,"Collegian (Royal College of Nursing, Australia)",1
Torso,4,"Journal of plastic, reconstructive & aesthetic surgery : JPRAS",1
Coxsackie and Adenovirus Receptor-Like Membrane Protein,4,Urology,1
Mesonephros,4,Nature,1
Hyperammonemia,4,Gastroenterology,2
Defecography,4,Diseases of the colon and rectum,2
Proprotein Convertase 2,4,The Journal of clinical endocrinology and metabolism,1
Cyclin D2,4,The Journal of biological chemistry,2
Leukemic Infiltration,4,The Annals of thoracic surgery,1
Peroxiredoxin VI,4,The Journal of pathology,1
Universal Coverage,4,Australian and New Zealand journal of public health,1
Hypoxia-Inducible Factor-Proline Dioxygenases,4,International journal of radiation biology,1
Graft vs Tumor Effect,4,The Journal of clinical investigation,1
Malformations of Cortical Development,4,Epilepsia,2
Cronobacter sakazakii,4,Applied and environmental microbiology,2
Hemosiderin,4,The Biochemical journal,1
"Tachycardia, Ectopic Atrial",4,Circulation,2
Lifting,4,AAOHN journal : official journal of the American Association of Occupational Health Nurses,2
Butylhydroxybutylnitrosamine,4,Cancer letters,2
"Abortifacient Agents, Steroidal",4,BJOG : an international journal of obstetrics and gynaecology,1
Glycerol Kinase,4,Journal of bacteriology,2
Intuition,4,Pflege,1
Echinococcus multilocularis,4,Molecular and biochemical parasitology,2
Crotalus,4,Proceedings of the National Academy of Sciences of the United States of America,1
Hepatocyte Nuclear Factor 3-gamma,4,Virology,2
Pulmonary Surfactant-Associated Protein C,4,American journal of physiology. Lung cellular and molecular physiology,2
Presbyopia,4,Nippon Ganka Gakkai zasshi,1
Pimelic Acids,4,Journal of bacteriology,3
Pronation,4,Physical therapy,1
Coproporphyrins,4,Biochimica et biophysica acta,2
Retinal Neurons,4,Investigative ophthalmology & visual science,2
Bacteriophage P1,4,Journal of molecular biology,1
Heterogeneous-Nuclear Ribonucleoprotein L,4,Nature,1
Foot Deformities,4,The Journal of bone and joint surgery. British volume,1
"cdc42 GTP-Binding Protein, Saccharomyces cerevisiae",4,The EMBO journal,2
Arenaviridae Infections,4,Proceedings of the National Academy of Sciences of the United States of America,1
Polydioxanone,4,Plastic and reconstructive surgery,1
Heparinoids,4,British journal of haematology,2
Dysarthria,4,Stroke; a journal of cerebral circulation,1
Brunner Glands,4,Gut,2
Arabinonucleosides,4,British journal of haematology,1
Lipoxins,4,American journal of physiology. Gastrointestinal and liver physiology,1
Margarine,4,Metabolism: clinical and experimental,1
Entomology,4,Parassitologia,2
Streptomycetaceae,4,The Journal of antibiotics,2
Myelitis,4,Archives of neurology,1
Food Inspection,4,Biomedical and environmental sciences : BES,1
Rewarming,4,Anesthesia and analgesia,1
